source_path,file_type,file_size_mb,detected_content,suggested_section,priority,destination_path,latex_label,caption_or_table_title,status,notes
outputs/_report_collected.json,table_metric,0.0279,unknown_output,Needs Review,low,,,,needs_review,unrecognized generated output
outputs/aireadi_stream_full/checkpoints/best_model_checkpoint.pt,model_checkpoint,2.1794,checkpoint_model,Ignored,low,,,,ignored,checkpoint/model file is unsafe and not report content
outputs/aireadi_stream_full/checkpoints/final_model_checkpoint.pt,model_checkpoint,2.1796,checkpoint_model,Ignored,low,,,,ignored,checkpoint/model file is unsafe and not report content
outputs/aireadi_stream_full/config_resolved.yaml,config,0.0022,config_summary,Appendix,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/figures/mae_by_horizon.png,figure,0.0295,mae_by_horizon_figure,Forecasting Results,high,,fig:horizon_mae,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/figures/personalization_sweep.png,figure,0.0232,personalization_sweep_figure,Personalization,low,,fig:personalization_warmup,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/hardware/benchmark_hardware_metrics.json,table_metric,0.0004,runtime_hardware_metrics,Ablation and Runtime,medium,,tab:runtime_metrics_generated,Single-GPU runtime and memory metrics.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/hardware/benchmark_stream_state_memory.csv,table_metric,0.0001,hardware_stream_state_memory,Needs Review,low,,,,ignored,stream memory detail contains raw participant/segment identifiers; summarized hardware JSON is used instead
outputs/aireadi_stream_full/hardware/hardware_metrics.json,table_metric,0.0004,runtime_hardware_metrics,Ablation and Runtime,medium,,tab:runtime_metrics_generated,Single-GPU runtime and memory metrics.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/hardware/stream_state_memory.csv,table_metric,0.0009,hardware_stream_state_memory,Needs Review,low,,,,ignored,stream memory detail contains raw participant/segment identifiers; summarized hardware JSON is used instead
outputs/aireadi_stream_full/metrics/bias_diagnostic.csv,table_metric,0.0009,bias_diagnostic,Personalization,low,,tab:bias_diagnostic_generated,Bias and MAE under offset and personalization diagnostics.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/metrics/clinical_safety.json,table_metric,0.0006,clinical_safety_metrics,Clinical Safety,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/metrics/horizon_metrics.csv,table_metric,0.0019,horizon_metrics,Forecasting Results,high,,tab:horizon_metrics_generated,Forecast error by horizon on the held-out test split.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/metrics/overall_metrics.json,table_metric,0.0003,overall_forecast_metrics,Forecasting Results,high,,tab:overall_metrics_generated,Overall forecast-only metrics on the held-out test split.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/metrics/personalization_sweep.csv,table_metric,0.0004,personalization_sweep,Personalization,low,,tab:personalization_sweep_generated,Warm-up sweep; anchor counts differ by warm-up length.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/metrics/scenario_metrics.csv,table_metric,0.0009,scenario_metrics,Proxy Scenario Evaluation,low,,tab:scenario_metrics_generated,Forecast metrics by proxy scenario mode.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/metrics/subgroup_metrics.csv,table_metric,0.0019,subgroup_metrics,Subgroup Analysis,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/metrics/training_history.csv,table_metric,0.0001,full_training_history,Appendix,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/metrics/training_summary.json,table_metric,0.0003,training_summary,Ablation and Runtime,medium,,tab:training_summary_generated,Training convergence summary.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full/predictions/predictions.parquet,raw_data,0.0297,raw_predictions,Ignored,low,,,,ignored,raw prediction parquet is too large and not report-safe
outputs/aireadi_stream_full/preprocessor.json,table_metric,0.0133,schema_or_preprocessor,Needs Review,low,,,,needs_review,schema/preprocessor artifact; keep out of manuscript unless manually summarized
outputs/aireadi_stream_full/schema_mapping.json,table_metric,0.0080,schema_or_preprocessor,Needs Review,low,,,,needs_review,schema/preprocessor artifact; keep out of manuscript unless manually summarized
outputs/aireadi_stream_full_1epoch/checkpoints/best_model_checkpoint.pt,model_checkpoint,2.1815,checkpoint_model,Ignored,low,,,,ignored,checkpoint/model file is unsafe and not report content
outputs/aireadi_stream_full_1epoch/checkpoints/final_model_checkpoint.pt,model_checkpoint,2.1817,checkpoint_model,Ignored,low,,,,ignored,checkpoint/model file is unsafe and not report content
outputs/aireadi_stream_full_1epoch/config_resolved.yaml,config,0.0022,config_summary,Appendix,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch/metrics/training_history.csv,table_metric,0.0001,full_training_history,Appendix,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch/metrics/training_summary.json,table_metric,0.0003,training_summary,Ablation and Runtime,medium,,tab:training_summary_generated,Training convergence summary.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch/preprocessor.json,table_metric,0.0141,schema_or_preprocessor,Needs Review,low,,,,needs_review,schema/preprocessor artifact; keep out of manuscript unless manually summarized
outputs/aireadi_stream_full_1epoch/schema_mapping.json,table_metric,0.0080,schema_or_preprocessor,Needs Review,low,,,,needs_review,schema/preprocessor artifact; keep out of manuscript unless manually summarized
outputs/aireadi_stream_full_1epoch_eval_test/config_resolved.yaml,config,0.0022,config_summary,Appendix,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/figures/mae_by_horizon.png,figure,0.0305,mae_by_horizon_figure,Forecasting Results,high,,fig:horizon_mae,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/figures/personalization_sweep.png,figure,0.0402,personalization_sweep_figure,Personalization,low,,fig:personalization_warmup,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/hardware/hardware_metrics.json,table_metric,0.0004,runtime_hardware_metrics,Ablation and Runtime,medium,,tab:runtime_metrics_generated,Single-GPU runtime and memory metrics.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/hardware/stream_state_memory.csv,table_metric,0.0782,hardware_stream_state_memory,Needs Review,low,,,,ignored,stream memory detail contains raw participant/segment identifiers; summarized hardware JSON is used instead
outputs/aireadi_stream_full_1epoch_eval_test/metrics/bias_diagnostic.csv,table_metric,0.0011,bias_diagnostic,Personalization,low,,tab:bias_diagnostic_generated,Bias and MAE under offset and personalization diagnostics.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/metrics/clinical_safety.json,table_metric,0.0007,clinical_safety_metrics,Clinical Safety,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/metrics/horizon_metrics.csv,table_metric,0.0029,horizon_metrics,Forecasting Results,high,,tab:horizon_metrics_generated,Forecast error by horizon on the held-out test split.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/metrics/overall_metrics.json,table_metric,0.0004,overall_forecast_metrics,Forecasting Results,high,,tab:overall_metrics_generated,Overall forecast-only metrics on the held-out test split.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/metrics/personalization_sweep.csv,table_metric,0.0013,personalization_sweep,Personalization,low,,tab:personalization_sweep_generated,Warm-up sweep; anchor counts differ by warm-up length.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/metrics/scenario_metrics.csv,table_metric,0.0013,scenario_metrics,Proxy Scenario Evaluation,low,,tab:scenario_metrics_generated,Forecast metrics by proxy scenario mode.,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/metrics/subgroup_metrics.csv,table_metric,0.0052,subgroup_metrics,Subgroup Analysis,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_test/predictions/predictions.parquet,raw_data,174.8738,raw_predictions,Ignored,low,,,,ignored,raw prediction parquet is too large and not report-safe
outputs/aireadi_stream_full_1epoch_eval_validation/config_resolved.yaml,config,0.0022,config_summary,Appendix,low,,,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_validation/figures/mae_by_horizon.png,figure,0.0312,mae_by_horizon_figure,Forecasting Results,high,,fig:horizon_mae,,needs_review,known output from non-selected run; not inserted automatically
outputs/aireadi_stream_full_1epoch_eval_validation/figures/personalization_sweep.png,figure,0.0419,personalization_sweep_figure,Personalization,low,,fig:personalization_warmup,,needs_review,known output from non-selected run; not inserted automatically
